Year,Mo,Dy,Location Name,Latitude,Longitude,Focal Depth (km),Mag,Total Deaths
2000,1,3,INDIA-BANGLADESH BORDER:  MAHESHKHALI,22.132,92.771,33,4.6,
2000,1,11,CHINA:  LIAONING PROVINCE,40.498,122.994,10,5.1,
2000,1,14,CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY,25.607,101.063,33,5.9,7
2000,2,2,"IRAN:  BARDASKAN, KASHMAR",35.288,58.218,33,5.3,1
2000,2,7,SOUTH AFRICA; SWAZILAND:  MBABANE-MANZINI,-26.288,30.888,5,4.5,
2000,3,28,JAPAN:  VOLCANO ISLANDS,22.338,143.73,127,7.6,
2000,4,5,GREECE:  CRETE,34.22,25.69,38,5.5,
2000,5,4,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",-1.105,123.573,26,7.6,46
2000,5,7,"TURKEY:  DOGANYOL, PUTURGE",38.164,38.777,5,4.1,
2000,5,17,TAIWAN:  TAI-CHUNG COUNTY,24.223,121.058,10,5.4,3
2000,6,4,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",-4.721,102.087,33,7.9,103
2000,6,6,"TURKEY:  CERKES, CUBUK, ORTA",40.693,32.992,10,6,2
2000,6,7,CHINA:  YUNNAN PROVINCE:  LIUKU; MYANMAR,26.856,97.238,33,6.3,
2000,6,7,INDONESIA:  SOUTHERN SUMATERA:  LAHAT,-4.612,101.905,33,6.7,1
2000,6,10,TAIWAN:  NAN-TOU,23.843,121.225,33,6.4,2
2000,6,17,"ICELAND:  VESTMANNAEYJAR, HELLA",63.966,-20.487,10,6.5,
2000,6,18,"AUSTRALIA:  S, COCOS ISLANDS",-13.802,97.453,10,7.9,
2000,6,21,"ICELAND:  GRIMSNES, SELFOSS, EYRARBAKKI, STOKKSEYRI",63.98,-20.758,10,6.5,
2000,7,1,JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,34.221,139.131,10,6.1,1
2000,7,6,NICARAGUA:  MASAYA,11.884,-85.988,33,5.4,7
2000,7,12,"INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT",-6.675,106.845,33,5.4,
2000,7,15,JAPAN:  NEAR S COAST HONSHU:  NII-JIMA,34.319,139.26,10,6.1,
2000,7,16,"PHILIPPINES:  BASCO, MOUNT IRADA, BATAN ISLANDS",20.253,122.043,33,6.4,
2000,7,30,JAPAN:  HONSHU:  S,33.901,139.376,10,6.5,
2000,8,4,"RUSSIA:  SAKHALIN ISLAND, UGLEGORSK, MAKAROV",48.786,142.246,10,6.8,
2000,8,21,CHINA:  YUNNAN PROVINCE:  WUDING,25.826,102.194,33,4.2,1
2000,9,3,CALIFORNIA:  NAPA,38.379,-122.413,10,5,
2000,10,2,"TANZANIA:  NKANSI, RUKWA",-7.977,30.709,34,6.5,
2000,10,6,"JAPAN:  HONSHU:  W:  OKAYAMA, TOTTORI",35.456,133.134,10,6.7,
2000,10,30,AFGHANISTAN-TAJIKISTAN:  RAKHOR,37.542,69.582,33,5.1,
2000,11,8,PANAMA-COLOMBIA:  JURADO,7.042,-77.829,17,6.5,
2000,11,16,"PAPUA NEW GUINEA:  NEW IRELAND, DUKE OF YORK",-4.001,152.327,17,8,2
2000,11,16,"PAPUA NEW GUINEA:  NEW IRELAND, NEW BRITAIN",-5.233,153.102,30,7.8,
2000,11,17,PAPUA NEW GUINEA:  NEW BRITAIN,-5.496,151.781,33,7.8,
2000,11,25,AZERBAIJAN:  BAKU,40.245,49.946,50,6.8,31
2000,12,6,TURKMENISTAN:  NEBITDAG-TURKMENBASHI,39.566,54.799,30,7,11
2000,12,15,TURKEY:  AFYON-BOLVADIN,38.457,31.351,10,6,6
2001,1,1,PHILIPPINES:  MINDANAO,6.898,126.579,33,7.5,
2001,1,13,EL SALVADOR; GUATEMALA,13.049,-88.66,60,7.7,844
2001,1,26,"INDIA:  GUJARAT:  BHUJ, AHMADABAD, RAJOKOT; PAKISTAN",23.419,70.232,16,7.7,20005
2001,2,13,EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,13.671,-88.938,10,6.6,315
2001,2,19,LAOS;  VIETNAM: DIENBIEN PHU,21.396,102.715,10,4.9,
2001,2,23,"CHINA:  SICHUAN PROVINCE:  KANGDING, YAJIANG",29.513,101.129,33,5.6,3
2001,2,28,"WASHINGTON:  OLYMPIA, SEATTLE, TACOMA",47.149,-122.727,52,6.8,1
2001,3,24,"JAPAN:  HIROSHIMA, OKAYAMA, HONSHU, KAGAMA",34.083,132.526,50,6.8,2
2001,5,8,EL SALVADOR:  CONCHAGUA,13.605,-88.795,10,5.7,1
2001,5,23,CHINA:  YUNNAN:  NINGLANG; SICHUAN:  YANYUAN,27.689,101.003,33,5.5,2
2001,6,1,AFGHANISTAN:  HINDU KUSH:  PARVAN,35.169,69.389,62,5,4
2001,6,23,"PERU:  AREQUIPA, MOQUEGUA, TACNA, AYACUCHO",-16.265,-73.641,33,8.4,103
2001,6,25,TURKEY:  OSMANIYE,37.238,36.206,5,5.5,
2001,7,5,"PERU:  CARAVELI, CHALA, ARICA, IQUIQUE, PARINACOTA",-16.086,-73.987,62,6.6,
2001,7,7,"PERU:  AREQUIPA, ARICA",-17.543,-72.077,33,7.6,1
2001,7,14,CHINA:  YUNNAN PROVINCE:  JIANGCHUAN,24.455,102.66,33,4.3,
2001,7,26,GREECE:  SKYROS,39.059,24.244,10,6.5,
2001,8,9,PERU:  ANTABAMA,-14.258,-72.683,33,5.8,4
2001,9,9,CALIFORNIA:  LOS ANGELES,34.059,-118.387,5,4.2,
2001,10,12,CANADA:  QUEEN CHARLOTTE ISLANDS,52.63,-132.2,20,6.1,
2001,10,12,GUAM,12.686,144.98,37,7,
2001,10,19,INDONESIA:  BANDA SEA,-4.102,123.907,33,7.5,
2001,10,27,CHINA:  YUNNAN PROVINCE:  YONGSHENG,26.316,100.648,10,5.6,1
2001,11,14,CHINA:  QINGHAI PROVINCE:  XIDATAN,35.946,90.541,10,7.8,
2001,12,18,TAIWAN,23.954,122.734,14,6.8,
2001,12,19,BANGLADESH:  DHAKA,23.632,90.376,10,4.5,
2002,1,2,"VANUATU ISLANDS:  EFATE, PORT VILA",-17.6,167.856,21,7.2,
2002,1,9,TAJIKISTAN:  ROGHUN,38.673,69.902,33,5.3,3
2002,1,10,PAPUA NEW GUINEA:  AITAPE,-3.212,142.427,11,6.7,1
2002,1,14,"CHILE: NORTHERN: CUYA, HUARA, IQUIQUE, POZO ALMONTE",-19.384,-69.231,33,5.6,
2002,1,17,RWANDA:  GISENYI,-1.684,29.077,15,4.7,1001
2002,1,30,"MEXICO:  VERACRUZ:  SAN ANDRES TUXTLA, TUXTEPEC",18.194,-95.908,109,5.9,
2002,2,3,TURKEY:  AFYON,38.573,31.271,5,6.5,44
2002,2,3,TAJIKISTAN:  ROGHUN,38.773,69.924,44,4.9,
2002,2,17,IRAN:  BAGHAN,28.093,51.755,33,5.4,1
2002,2,22,"MEXICO:  MEXICALI, BAJA CALIFORNIA",32.319,-115.322,7,5.5,
2002,3,3,"AFGHANISTAN:  HINDU KUSH:  SAMANGHAN, KABUL, RUSTAQ",36.502,70.482,226,7.4,166
2002,3,5,PHILIPPINES:  MINDANAO,6.033,124.249,31,7.5,15
2002,3,25,"AFGHANISTAN:  HINDU KUSH:  BAGHLAN, NAHRIN",36.062,69.315,8,6.1,1000
2002,3,26,JAPAN:  RYUKYU ISLANDS,23.346,124.09,33,6.4,
2002,3,31,TAIWAN:  TAIPEI,24.279,122.179,33,7.1,5
2002,4,1,"CHILE:  CENTRAL:  COQUIMBO, LA SERENA, OVALLE",-29.67,-71.384,71,6.4,
2002,4,12,TAJIKISTAN; AFGHANISTAN: DO ABI-NAHRIN,39.959,69.417,10,5.9,50
2002,4,18,"CHILE:  COPIAPO, TALTAL",-27.535,-70.586,62,6.6,
2002,4,20,"NEW YORK:  CLINTON, ESSEX, AU SABLE FORKS",44.513,-73.699,11,5.2,
2002,4,24,BALKANS NW:  KOSOVO; MACEDONIA:  N,42.436,21.466,10,5.7,1
2002,4,24,IRAN:  WESTERN:  KERMANSHAH,34.642,47.4,33,5.4,2
2002,4,25,GEORGIA:  TBILISI,41.765,44.96,10,4.3,5
2002,4,26,GUAM,13.088,144.619,86,7.1,
2002,5,18,TANZANIA:  BUNDA,-2.907,33.733,10,5.5,2
2002,5,28,"ARGENTINA:  AMINGA, ANILLACO, AGUA BLANCA, CHUQUIS",-28.937,-66.797,22,6,
2002,6,20,"BANGLADESH:  RANGPUR, THAKURGAON, ALMANAGAR",25.842,88.932,40,4.5,
2002,6,22,IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU,35.626,49.047,10,6.5,261
2002,7,22,"GERMANY:  AACHEN, COLOGNE, SPANGDAHLEM",50.889,6.103,17,4.8,
2002,7,31,"PANAMA:  BARU, ALANJE, DAVID; COSTA RICA:  LAUREL",7.929,-82.793,10,6.5,
2002,8,8,CHINA:  SICHUAN PROVINCE:  RULONG,30.916,99.927,33,5.3,
2002,8,14,NORTHERN MARIANA ISLANDS:  SAIPAN,14.101,146.199,30,6.5,
2002,8,15,INDONESIA:   SULAWESI:  TOJO,-1.196,121.333,10,6.2,48
2002,8,19,FIJI ISLANDS,-21.696,-179.513,580,7.7,
2002,8,19,FIJI ISLANDS,-23.884,178.495,675,7.7,
2002,8,24,EGYPT:  CAIRO,30.2,31.41,10,4.4,
2002,9,2,"IRAN: KAK, RAZAN, SIZAN",35.701,48.838,10,5.2,
2002,9,5,KYRGYZSTAN,39.77,72.007,32,5.5,
2002,9,6,ITALY:  SICILY:  PALERMO,38.381,13.701,5,6,2
2002,9,8,"PAPUA NEW GUINEA:  KAIRIRU IS, MUSCHU IS, WEWAK",-3.26,142.94,13,7.6,4
2002,9,13,"INDIA:  ANDAMAN ISLANDS:  RONGAT, DIGLIPUR,ARIEL BAY",13.036,93.068,21,6.5,2
2002,9,20,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  RANSIKI,-1.68,134.234,10,6.4,
2002,9,22,"UNITED KINGDOM:  MANSFIELD, DUDLEY",52.52,-2.15,9,4.8,
2002,9,25,MEXICO:  ACAPULCO,16.87,-100.113,6,5.3,
2002,9,25,IRAN:  MASJED-E SOLEYMAN,31.995,49.329,10,5.6,
2002,9,30,"FRANCE:  HENNEBONT, LANGUIDIC, LORIENT, TREMOREL",47.832,-3.207,10,4.2,
2002,10,10,"INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",-1.757,134.297,10,7.6,8
2002,10,23,"ALASKA:  CANTWELL, DENALI NATL PARK",63.514,-147.912,4,6.7,
2002,10,24,"CONGO: GOMA, LWIRO, BUKAVU; RWANDA:  MUGERA, KIGALI",-1.884,29.004,11,6.2,2
2002,10,29,ITALY:  SICILY:  SANTA VENERINA,37.67,15.267,10,4.3,
2002,10,31,"ITALY:  SAN GUILIANO DI PUGLIA, CAMPOBASSO",41.789,14.872,10,5.7,29
2002,11,1,PAKISTAN:  GILGIT,35.517,74.654,33,5.4,11
2002,11,2,INDONESIA:  SUMATERA:  SIMEULUE,2.824,96.085,30,7.3,3
2002,11,3,"ALASKA:  SLANA, MENTASTA LAKE, FAIRBANKS",63.517,-147.444,5,7.9,
2002,11,20,"PAKISTAN:  DASHKIN, DOIAN, MUSHKIN",35.414,74.515,33,6.3,19
2002,11,27,VANUATU ISLANDS: MERE LAVA ISLAND,-14.49,167.827,33,5.9,
2002,12,2,"GREECE:  MEGALOPOLIS, VARTHOLOMION",37.747,21.087,10,5.7,
2002,12,14,CHINA:  GANSU PROVINCE:  YUMNE,39.736,97.443,22,5.5,2
2002,12,24,IRAN:  KERMANSHAH,34.594,47.454,33,5.2,
2002,12,25,CHINA:  XINJIANG:  WUQIA,39.57,75.254,10,5.7,
2002,12,25,AFGHANISTAN:  JALALABAD,35.704,69.868,91,5.5,
2003,1,11,"IRAN:  KAZERUN, NURABAD",29.59,51.474,33,5.2,
2003,1,20,"SOLOMON ISLANDS:  HONIARA, SAN CRISTOBAL",-10.491,160.77,33,7.3,
2003,1,22,"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",18.77,-104.104,24,7.5,29
2003,1,23,INDONESIA:  SUMBAWA ISLAND:  DOMPU,-8.807,118.524,33,5.5,
2003,1,26,"ITALY:  SPINELLO, SANTA SOFIA, BAGNO DI ROMAGNA",43.883,11.96,7,4.7,
2003,1,27,"TURKEY:  SAGLAMTAS, PULUMUR",39.5,39.878,10,6.1,1
2003,2,13,CHINA:  N. XINJIANG:  URUMQI,43.897,85.923,24,5.3,
2003,2,15,PHILIPPINES: LUZON:  DIMASALANG,12.171,123.921,10,5.8,
2003,2,15,"PHILIPPINES: MASBATE, DIMASALANG",12.168,124.079,10,6.3,
2003,2,22,CALIFORNIA:  BIG BEAR CITY,34.31,-116.848,1,5.2,
2003,2,22,"FRANCE:  BACCARAT, COLMAR, THANN; GERMANY:  EDIGEN",48.342,6.57,10,5,
2003,2,24,CHINA:  S. XINJIANG:  BACHU,39.61,77.23,11,6.3,261
2003,2,25,CHINA:  S. XINJIANG:  BACHU,39.483,77.393,10,5.4,5
2003,3,21,"INDONESIA:  JAVA:  CARACAS, CILIMUS, SAMPORA",-6.983,108.468,33,4.6,
2003,3,22,GERMANY:  ALBSTADT,48.21,9,6,4.7,
2003,3,25,INDONESIA:  FLORES:  REO,-8.294,120.743,33,6.5,4
2003,3,25,BHUTAN:  PHUENTSHOLING,27.264,89.331,47,5.5,
2003,4,10,"TURKEY:  IZMIR, SEFERIHISAR",38.221,26.958,10,5.7,
2003,4,17,CHINA:  QINGHAI PROVINCE:  DELINGHA,37.529,96.476,14,6.4,
2003,4,29,"ALABAMA:  FORT PAYNE,GAYLESVILLE,VALLEY HEAD",34.494,-85.629,20,4.6,
2003,5,1,TURKEY:  BINGOL,39.007,40.464,10,6.4,177
2003,5,4,CHINA:  S. XINJIANG:  YOPURGA,39.43,77.219,10,5.8,1
2003,5,21,"ALGERIA:  ALGIERS, BOUMERDES, REGHIA, THENIA",36.964,3.634,12,6.8,2287
2003,5,26,"JAPAN:  HONSHU:  IWATE, MIYAGI, YAMAGATA, AKITA",38.849,141.568,68,7,
2003,5,26,"INDONESIA:  MOROTAI, BEREBERE, DARUBA",2.354,128.855,31,7,1
2003,5,27,"ALGERIA:  ALGIERS, BOUMERDES, REGHAIA",36.939,3.578,8,5.7,9
2003,6,6,KENTUCKY:  BARDWELL,36.87,-88.98,3,4,
2003,6,9,"GREECE:  GONNOI, LARISA",39.893,22.309,18,5.2,
2003,6,20,"CHILE:  OVALLE, COQUIMBO; ARGENTINA:  SAN JUAN",-30.608,-71.637,33,6.8,
2003,7,3,"IRAN:  NORTHEASTERN: YAKHAK, BASHIRABAD, BUTEHGAZ",35.476,60.784,41,5.2,
2003,7,10,IRAN:  SOUTHERN: GAJJIABAD,28.355,54.169,10,5.8,1
2003,7,15,INDIAN OCEAN:  FELT IN MALDIVES,-2.598,68.382,10,7.6,
2003,7,21,CHINA:  YUNNAN PROVINCE,25.975,101.29,10,5.9,16
2003,7,25,"JAPAN:  HONSHU:  MIYAGI, IWATE",38.432,141.003,10,5.5,
2003,7,26,TURKEY:  WESTERN:  BULDAN,38.111,28.887,10,4.5,
2003,7,26,TURKEY:  WESTERN:  BULDAN,38.019,28.927,10,5.4,
2003,7,26,BANGLADESH:  RANGAMATI,22.854,92.306,10,5.7,2
2003,8,4,SCOTIA SEA:  SOUTH ORKNEY ISLANDS: LAURIE IS,-60.532,-43.411,10,7.6,
2003,8,11,INDONESIA:  HALMAHERA:  WASILE,1.142,128.152,10,6,
2003,8,13,"PANAMA:  COLON, PANAMA CITY",9.355,-79.941,54,5.4,
2003,8,14,"GREECE:  LEFKADA, PREVEZA",39.16,20.605,10,6.3,
2003,8,16,"CHINA:  NEI MONGOL:  LINDONG, TIANSHAN",43.77,119.643,24,5.4,4
2003,8,18,"CHINA:  TIBET (XIZANG PROVINCE): BOMI,MEDOG,NYINGCHI",29.573,95.605,33,5.5,
2003,8,21,"NEW ZEALAND:  DUNEDIN,INVERCARGILL,TE ANAU,FIORDLAND",-45.104,167.144,28,7.2,
2003,9,14,"ITALY:  LOIANO, MONGHIDORO, MONZUNO",44.329,11.45,10,5.3,
2003,9,20,JAPAN:  HONSHU:  TOKYO,34.998,140.172,52,5.7,
2003,9,21,MYANMAR (BURMA):  TAUNGDWINGYI; THAILAND:  BANGKOK,19.917,95.672,10,6.6,
2003,9,22,"DOMINICAN REPUBLIC:  PUERTO PLATA, SANTIAGO",19.777,-70.673,10,6.4,3
2003,9,25,JAPAN:  HOKKAIDO,41.815,143.91,27,8.3,2
2003,9,27,"RUSSIA:  KOSH-AGACH, UST'-ULAGAN, ONGUDAI, SHEBALINO",50.038,87.813,16,7.3,3
2003,9,29,RUSSIA:  KOSH-AGACH,50,87.89,10,4.4,
2003,9,29,NEW ZEALAND:  CHRISTCHURCH,-43.34,173.04,32,4.8,
2003,10,1,"RUSSIA:  KOSH-AGACH, BARNAUL, GORNO-ALTAYSK",50.211,87.721,10,6.7,
2003,10,15,JAPAN:  NEAR S COAST HONSHU:  ATSUGI,35.457,139.871,78,5.2,
2003,10,16,"DOMINICAN REPUBLIC:   MOCA, SANTIAGO",19.761,-70.693,10,4.5,
2003,10,16,CHINA:  YUNNAN PROVINCE:  DAYAO,25.954,101.254,33,5.6,3
2003,10,25,"CHINA:  GANSU PROVINCE:  MINLE, SHANDAN",38.4,100.951,10,5.8,9
2003,10,31,JAPAN:  EAST COAST HONSHU,37.812,142.619,10,7,
2003,11,13,"CHINA:  GANSU PROVINCE:  JONE, LINTAN, MINXIAN",34.712,103.834,10,5.1,1
2003,11,14,"CHINA:  YUNNAN PROVINCE:  LUDIAN, ZHAOTONG",27.372,103.971,33,5.6,4
2003,11,17,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.146,178.65,33,7.8,
2003,11,18,PHILIPPINES:  SAMAR:  CAN-AVID,12.025,125.416,35,6.5,1
2003,11,26,CHINA:  YUNNAN PROVINCE:  LUDIAN,27.283,103.753,33,4.7,
2003,12,1,CHINA:  XINJIANG:  ZHAOSU,42.905,80.515,10,6,11
2003,12,5,"INDONESIA:  FLORES, RUTENG",-8.137,120.524,33,4.9,
2003,12,10,"TAIWAN:  T'AI-TUNG, KAO-HSIUN",23.039,121.362,10,6.8,
2003,12,11,IRAN:  WESTERN:  MASJED-E- SOLEYMAN,31.953,49.209,33,5,
2003,12,17,BULGARIA: POVADIYA,43.083,27.486,34,4.4,
2003,12,22,"CALIFORNIA:  PASO ROBLES,TEMPLETON,ATASCADERO",35.706,-121.102,8,6.6,2
2003,12,25,PANAMA-COSTA RICA:  PUERTO ARMUELLES,8.416,-82.824,33,6.5,2
2003,12,26,"IRAN:  SOUTHEASTERN:  BAM, BARAVAT",28.995,58.311,10,6.6,31000
2003,12,27,NEW CALEDONIA:  LOYALTY ISLANDS,-22.015,169.766,10,7.3,
2004,1,1,"INDONESIA:  BALI, LOMBOK",-8.31,115.788,45,5.8,1
2004,1,1,"MEXICO:  GUERRERO, MEXICO CITY",17.488,-101.303,29,6.1,
2004,1,10,SLOVAKIA:  SLOVENSKO L'UPCA,48.758,19.217,5,2.2,
2004,1,10,"ALGERIA:  NORTHERN:  ALGIERS, BOUMERDES",36.852,3.418,10,4.4,
2004,1,14,IRAN:  SOUTHERN:  FIRUZABAD,27.695,52.397,12,5.2,
2004,1,28,INDONESIA:  SERAM,-3.12,127.4,17,6.7,
2004,2,4,PANAMA-COSTA RICA:  CHIRIQUI,8.358,-82.877,29,6.1,
2004,2,5,INDONESIA:  NABIRE,-3.615,135.538,17,7,37
2004,2,7,INDONESIA:  NABIRE,-4.003,135.023,10,7.3,
2004,2,11,"JORDAN:  MA'IN; ISRAEL:  JERUSALEM, PETAH-TIQWA",31.675,35.551,27,5.3,
2004,2,14,"PAKISTAN:  BALAKOT, BATGRAM, MANSEHRA",34.774,73.216,11,5.4,24
2004,2,16,INDONESIA:  SUMATRA:  PADANGPANJANG,-0.466,100.655,56,5.1,5
2004,2,22,INDONESIA:  SUMATRA:  PESISIR SELATAN,-1.559,100.488,42,6,
2004,2,24,BURUNDI:  RUYAGA,-3.393,29.558,10,4.7,3
2004,2,24,"MOROCCO:  AL HOCEIMA, IMZOURENE, BENI ABDALLAH",35.142,-3.997,0,6.4,628
2004,3,1,GREECE:  SOUTHERN:  KALAMATA,37.136,22.116,9,5.2,
2004,3,24,"CHINA:  NEI MONGOL:  BAYAN UL HOT, ULIASTAI",45.382,118.256,19,5.4,
2004,3,25,TURKEY:  ERZURUM,39.93,40.812,,5.6,10
2004,3,28,TURKEY:  ASKALE,39.847,40.874,5,5.6,
2004,4,5,"AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN",36.512,71.029,187,6.5,3
2004,4,9,INDONESIA:  SUMATRA:  PADANG,-1.549,100.54,66,5.4,
2004,4,16,INDONESIA:  BALI,-8.669,114.65,96,5.5,
2004,4,23,INDONESIA:  TIMOR: KUPANG,-9.362,122.839,66,6.7,
2004,5,1,TAIWAN:  HUALIEN: TAROKO GORGE NATIONAL PARK,24.081,121.611,45,5.2,2
